,x,y,z,
1,0.083367914,2.00995484,9.2007079,2
2,2.949334634,-3.01834104,8.6122803,2
3,4.82935176,-7.9442809,3.382605046,2
4,1.7639099,-7.31300654,0.023901383,2
5,-1.375323459,-8.0109311,0.28145753,2
6,-1.718572988,-8.6774352,1.128869648,2
7,-1.51624146,-9.72479852,-0.484545892,2
8,-0.532672108,-9.90808726,1.810131836,2
9,-1.72238159,-7.60245966,0.79704592,2
10,-2.011358654,-9.4010679,2.9374757,2
11,0.603240986,-9.10256946,2.264306654,2
12,-2.48029178,-8.2427794,0.482836926,2
13,-1.607171614,-8.97736192,2.449023452,2
14,-1.117291274,-7.05116562,2.120056155,2
15,-1.473870864,-5.28826294,-0.721154768,2
16,-1.865679904,-13.19252304,-0.626416022,2
17,-1.379132036,-12.3313048,2.234313988,2
18,-0.68692015,-5.58485718,0.21861577,2
19,2.437554918,-11.21729124,-1.8166016,2
20,-1.52433474,-12.85403444,-1.628552292,2
21,-0.945428468,-12.3341615,1.919628818,2
22,-1.819024628,-9.10590224,-1.462878474,2
23,-1.406744406,-7.7400453,-0.226037594,2
24,-3.268194626,-9.99473276,1.71824954,2
25,-1.09824832,-11.6957459,0.50378418,2
26,-1.10253296,-6.6188905,2.23669437,2
27,1.39209594,-10.64790654,-0.78114008,2
28,-3.56336068,-10.41510628,3.744897454,2
29,-0.995892346,-13.318683,5.211682128,2
30,0.323309274,-13.74143686,4.75417468,2
31,-3.49290164,-11.16444698,-0.5740479,2
32,-1.41626582,-8.35465696,0.129589852,2
33,-3.9342224,-9.02068476,-0.426940924,2
34,-1.356280526,-10.8611877,1.394042976,2
35,-1.86139528,-6.37466428,3.12838142,2
36,-1.009222428,-8.67648324,1.252648922,2
37,-0.36937868,-11.06113906,4.0614869,2
38,-0.38699332,-12.48745732,3.87581796,2
39,0.809381095,-10.87166124,3.64777842,2
40,-0.71786502,-10.8588072,2.54423831,2
41,-0.288922106,-12.8440368,3.319763084,2
42,-1.1420472,-10.13041374,1.65540772,2
43,-0.48030397,-10.98163448,3.679675222,2
44,-3.954693618,-14.5026792,3.5254273,2
45,-0.109918198,-10.914508,4.687048412,2
46,-2.00897829,-11.2753722,4.07862561,2
47,-0.466021715,-10.3822569,1.61018072,2
48,-2.942083801,-7.19255986,-0.376953126,2
49,-3.91137086,-11.16539916,2.27763678,2
50,-1.21821906,-10.5065124,2.470922968,2
51,-0.05612182,-10.9973448,2.801794448,2
52,1.760101236,-10.20848982,2.321435556,2
53,-2.481243948,-11.1730162,2.894628924,2
54,0.269036904,-11.6091002,1.128869648,2
55,0.009100354,-9.08590682,2.51329346,2
56,-3.325799566,-8.731231648,1.78347178,2
57,-1.298199482,-6.407037388,-0.60166014,2
58,0.674176022,-9.382025,0.99985354,2
59,-0.20513304,-9.35250844,3.33547359,2
60,-2.988739,-10.67980346,1.837268074,2
61,0.680841048,-9.94807726,1.73062744,2
62,0.55706184,-11.97710556,5.1893066,2
63,-1.962799076,-10.70598754,1.96533204,2
64,0.461370852,-9.0249695,2.63183594,2
65,-3.064910802,-10.7969176,1.856787112,2
66,-0.33843383,-11.2425233,1.96437988,2
67,0.813189666,-9.48247676,3.56494142,2
68,-4.02848516,-11.4891296,2.634692401,2
69,0.217620846,-10.53983768,2.941760228,2
70,-2.419830334,-8.67553082,2.478540032,2
71,-1.409124756,-8.25039664,1.90820316,2
72,-1.963751198,-6.08140248,3.627783214,2
73,-0.455072012,-11.1196962,2.259545878,2
74,-2.807354806,-11.56863418,2.50948488,2
75,-1.67620236,-8.04616074,1.090307632,2
76,-0.561712632,-10.40129992,0.35096436,2
77,-3.73427132,-10.89594112,4.025781282,2
78,1.068841502,-13.0059021,3.474487296,2
79,-2.103717056,-9.1896913,3.01840816,2
80,-0.648358174,-7.163995254,1.8748779,2
81,-2.145611496,-7.5810365,1.202661058,2
82,-1.999456712,-5.28826294,1.143151852,2
83,-2.266058372,-9.99949344,-2.322668552,2
84,-0.737860148,-10.6807554,1.415942379,2
85,-1.879486176,-10.4860414,2.27954097,2
86,3.501104784,-9.6148255,1.78204346,2
87,-0.4331726,-10.34702764,1.550671384,2
88,-1.096344011,-7.87048934,-0.020373484,2
89,-4.039434828,-12.51173674,1.15886238,2
90,-0.71691288,-6.14091192,4.00531012,2
91,-1.71190792,-6.0304626,2.22288824,2
92,-3.284857194,-9.31632686,1.700634712,2
93,-0.973992916,-12.63599246,3.12457282,2
94,-2.64168086,-6.1375794,2.49425048,2
95,0.11431272,-10.87594616,0.018188464,2
96,-1.880914236,-12.6231384,-0.212707532,2
97,-1.034930396,-13.6314637,1.841552693,2
98,-2.2170226,-7.01498404,3.87343745,2
99,-0.22560424,-7.31491084,0.42666012,2
100,-0.268927012,-11.62814334,1.92819818,2
101,-1.414837558,-9.68814074,2.32381586,2
102,1.385430938,-8.83787236,-0.31173098,2
103,-2.426019288,-9.40059226,2.09672852,2
104,-1.657635502,-11.35487654,1.882019052,2
105,-1.37722774,-6.62555538,0.59423838,2
106,-3.05634162,-14.7188172,-2.36503889,2
107,-3.370550576,-11.335834,-0.16462402,2
108,-1.92852174,-7.32824096,1.43355706,2
109,-1.75570682,-5.764337126,-1.38575443,2
110,-1.56527714,-10.10375377,-2.474536134,2
111,-2.70928349,-12.07850952,0.86560059,2
112,-2.269390927,-10.20944186,1.335485874,2
113,-2.70023804,-9.83524766,-0.82065426,2
114,-3.505755628,-12.46889026,1.58875732,2
115,-2.0861023,-10.77120974,0.897497554,2
116,-3.836627186,-6.6141296,1.23884266,2
117,-1.63478398,-9.2972838,1.698730422,2
118,-2.163226281,-11.4491394,1.226940894,2
119,-1.101580829,-11.9980532,2.31810304,2
120,-0.75833134,-9.4896182,1.938195746,2
121,-0.77737424,-9.02592176,2.460449216,2
122,-1.731903074,-10.3979674,2.606604,2
123,-1.72047726,-11.90569466,4.8370117,2
124,-2.46838996,-7.70433964,0.661840832,2
125,-0.785943581,-8.8983336,2.748950248,2
126,-2.364129667,-11.883319,-0.350769046,2
127,-1.310577392,-10.14993288,1.777758792,2
128,-1.81188353,-5.82337028,2.70515136,2
129,-1.20441285,-11.09494018,-0.836840732,2
130,-4.18035275,-10.73598024,2.004370178,2
131,-0.95352172,-12.69216918,3.139807092,2
132,-2.16513057,-10.7840637,3.92961422,2
133,-2.192742932,-8.8140688,1.15029299,2
134,-1.19441528,-8.38750614,1.849169922,2
135,-4.116082816,-10.5127013,1.150769062,2
136,-1.353424124,-8.2042174,0.61708988,2
137,-2.2760559,-9.977594,1.900585944,2
138,-1.468634068,-9.27586058,3.222644076,2
139,-3.805682368,-12.7364441,2.388085877,2
140,-0.563140866,-8.66791378,0.104357892,2
141,-3.441961652,-6.30801398,0.941296367,2
142,-1.553375236,-8.4746278,0.818945362,2
143,-4.19320682,-8.087103227,1.37404788,2
144,-1.21488646,-4.68412466,4.777978524,2
145,-2.78974002,-5.46345812,4.963647457,2
146,-3.483380132,-9.49152226,2.139575199,2
147,-3.280096392,-11.7290709,2.80798343,2
148,-0.047552454,-10.07709358,-0.6373658,2
149,-5.7442566,-10.47937618,2.37856445,2
150,-1.096343961,-11.1644471,2.845117178,2
151,-2.808306813,-12.5974306,-0.7649537,2
152,-5.43861682,-10.791681,1.208850128,2
153,-1.93423456,-8.28753048,1.41594236,2
154,-1.92852172,-4.70745238,1.493542468,2
155,0.52944942,-11.53245226,1.229797328,2
156,0.994097906,-10.1618347,1.4821167,2
157,-0.384613034,-10.3375062,3.392602588,2
158,-4.08847052,-7.584369,3.005078168,2
159,-2.30509644,-9.2044495,2.483300794,2
160,-3.48766484,-7.27158818,1.781567338,2
161,-2.45315558,-6.16138298,1.742529297,2
162,-2.104669194,-11.4110534,3.277392592,2
163,-0.469354248,-8.8769104,0.8179932,2
164,-5.81471566,-8.25849006,4.17907718,2
165,-5.46622924,-6.3460998,0.80133058,2
166,-1.8694885,-10.092328,-0.214611852,2
167,-0.62217406,-8.583648566,0.881787076,2
168,-2.370794676,-9.7267028,-0.50454106,2
169,-3.70761108,-7.35204484,0.5766235,2
170,-1.444830332,-6.75171494,1.12125246,2
171,-1.56146852,-8.28038932,1.70396728,2
172,-3.77235716,-8.3022888,1.561145008,2
173,-3.25248412,-7.1954163,0.019140616,2
174,-2.26224976,-9.6352966,0.34429932,2
175,0.12669066,-9.1316102,-0.488830542,2
176,2.535626234,-2.77601932,5.79058844,2
177,-0.021844486,5.68953246,7.81009524,2
178,0.005767822,6.0437317,7.7686768,2
